%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.pwm,field.pid_data.input,field.pid_data.output,field.pid_data.setpoint
1711702353389395950,718,1711702353392811216,,0.0,0.0,0.0,0.0,0.0
1711702353489402453,719,1711702353492811216,,0.0,0.0,0.0,0.0,0.0
1711702353589262202,720,1711702353592811216,,0.0,0.0,0.0,0.0,0.0
1711702353689112160,721,1711702353692811216,,0.0,0.0,0.0,0.0,0.0
1711702353789047666,722,1711702353792811216,,0.0,0.0,0.0,0.0,0.0
1711702353888968101,723,1711702353892811216,,0.0,0.0,0.0,0.0,0.0
1711702353989202923,724,1711702353992811216,,0.0,0.0,0.0,0.0,0.0
1711702354089212772,725,1711702354092811216,,0.0,0.0,0.0,0.0,0.0
1711702354189222914,726,1711702354192811216,,0.0,0.0,0.0,0.0,0.0
1711702354288987773,727,1711702354292811216,,0.0,0.0,0.0,0.0,0.0
1711702354389312261,728,1711702354392811216,,0.0,0.0,0.0,0.0,0.0
1711702354489481309,729,1711702354492811216,,0.0,0.0,0.0,0.0,0.0
1711702354589522349,730,1711702354592811216,,0.0,0.0,0.0,0.0,0.0
1711702354689178451,731,1711702354692811216,,0.0,0.0,0.0,0.0,0.0
1711702354789121920,732,1711702354792811216,,0.0,0.0,0.0,0.0,0.0
1711702354889215751,733,1711702354892811216,,0.0,0.0,0.0,0.0,0.0
1711702354989374461,734,1711702354992811216,,0.0,0.0,0.0,0.0,0.0
1711702355089093431,735,1711702355092811216,,0.0,0.0,0.0,0.0,0.0
1711702355189168482,736,1711702355192811216,,0.0,0.0,0.0,0.0,0.0
1711702355289116225,737,1711702355292811216,,0.0,0.0,0.0,0.0,0.0
1711702355389240108,738,1711702355392811216,,0.0,0.0,0.0,0.0,0.0
1711702355504138648,739,1711702355506837535,,0.0,0.0,0.0,0.0,0.0
1711702355604147984,740,1711702355606837535,,0.0,17.0,0.0,17.231201171875,86.156005859375
1711702355688999225,741,1711702355692837535,,0.09985502809286118,11.0,29.339855194091797,11.36323070526123,86.156005859375
1711702355789156542,742,1711702355792837535,,0.0,14.0,0.0,14.297215461730957,86.156005859375
1711702355904387388,743,1711702355906837535,,0.06240938976407051,13.0,18.3374080657959,13.563719749450684,86.156005859375
1711702355989453475,744,1711702355992837535,,0.0,17.0,0.0,17.231201171875,86.156005859375
1711702356089206365,745,1711702356092837535,,0.09985502809286118,11.0,29.339855194091797,11.36323070526123,86.156005859375
1711702356189192937,746,1711702356192837535,,0.04992751404643059,14.0,14.669927597045898,14.297215461730957,86.156005859375
1711702356289530063,747,1711702356292837535,,0.0,11.0,0.0,11.36323070526123,86.156005859375
