%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.pwm,field.pid_data.input,field.pid_data.output,field.pid_data.setpoint
1711881616537073798,32048,1711881616537696979,,0.0,0.0,0.0,0.0,0.0
1711881616637217715,32049,1711881616637696979,,0.0,0.0,0.0,0.0,0.0
1711881616737065825,32050,1711881616737696979,,0.0,0.0,0.0,0.0,0.0
1711881616837064855,32051,1711881616837696979,,0.0,0.0,0.0,0.0,0.0
1711881616935170362,32052,1711881616937696979,,0.0,0.0,0.0,0.0,0.0
1711881617037082505,32053,1711881617036262296,,0.0,0.0,0.0,0.0,0.0
1711881617137080933,32054,1711881617136262296,,0.0,0.0,0.0,0.0,0.0
1711881617237209405,32055,1711881617236262296,,0.0,0.0,0.0,0.0,0.0
1711881617337153193,32056,1711881617336262296,,0.0,0.0,0.0,0.0,0.0
1711881617437162801,32057,1711881617436262296,,0.0,0.0,0.0,0.0,0.0
1711881617537183263,32058,1711881617536262296,,0.0,0.0,0.0,0.0,0.0
1711881617637207099,32059,1711881617636262296,,0.0,0.0,0.0,0.0,0.0
1711881617737134211,32060,1711881617736262296,,0.0,0.0,0.0,0.0,0.0
1711881617837061434,32061,1711881617836262296,,0.0,0.0,0.0,0.0,0.0
1711881617937163302,32062,1711881617936262296,,0.0,0.0,0.0,0.0,0.0
1711881618037169407,32063,1711881618036262296,,0.0,0.0,0.0,0.0,0.0
1711881618137126490,32064,1711881618136262296,,0.0,0.0,0.0,0.0,0.0
1711881618237162269,32065,1711881618236262296,,0.0,0.0,0.0,0.0,0.0
1711881618337078193,32066,1711881618336262296,,0.0,0.0,0.0,0.0,0.0
1711881618437009598,32067,1711881618436262296,,0.0,0.0,0.0,0.0,0.0
1711881618537190615,32068,1711881618536262296,,0.0,0.0,0.0,0.0,0.0
1711881618637126971,32069,1711881618636262296,,0.0,0.0,0.0,0.0,0.0
1711881618737208777,32070,1711881618736262296,,0.0,0.0,0.0,0.0,0.0
1711881618837130623,32071,1711881618836262296,,0.0,0.0,0.0,0.0,0.0
1711881618937134179,32072,1711881618936262296,,0.0,0.0,0.0,0.0,0.0
1711881619037151481,32073,1711881619036262296,,0.0,0.0,0.0,0.0,0.0
1711881619137207896,32074,1711881619136262296,,1.4478977918624878,5.0,425.4278564453125,5.134420871734619,476.7720642089844
1711881619237188207,32075,1711881619236262296,,1.4478977918624878,5.0,425.4278564453125,5.134420871734619,476.7720642089844
1711881619337204257,32076,1711881619336262296,,1.39797043800354,6.0,410.7579650878906,6.601409912109375,476.7720642089844
