%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.pwm,field.pid_data.input,field.pid_data.output,field.pid_data.setpoint
1711165874815246226,60210,1711165874819833692,,0.0,0.0,0.0,0.0,0.0
1711165874823570635,60211,1711165874819833692,,0.0,0.0,0.0,0.0,0.0
1711165874829141964,60212,1711165874829833692,,0.0,0.0,0.0,0.0,0.0
1711165874837405660,60213,1711165874839833692,,0.0,0.0,0.0,0.0,0.0
1711165874845812532,60214,1711165874850833692,,0.0,0.0,0.0,0.0,0.0
1711165874854050583,60215,1711165874850833692,,0.0,0.0,0.0,0.0,0.0
1711165874859556570,60216,1711165874860833692,,0.0,0.0,0.0,0.0,0.0
1711165874868040468,60217,1711165874870833692,,0.0,0.0,0.0,0.0,0.0
1711165874876401314,60218,1711165874881833692,,0.0,0.0,0.0,0.0,0.0
1711165874884701624,60219,1711165874881833692,,0.0,0.0,0.0,0.0,0.0
1711165874890318260,60220,1711165874891833692,,0.0,0.0,0.0,0.0,0.0
1711165874898422220,60221,1711165874901833692,,0.0,0.0,0.0,0.0,0.0
1711165874906832379,60222,1711165874901833692,,0.0,0.0,0.0,0.0,0.0
1711165874915211431,60223,1711165874912833692,,0.0,0.0,0.0,0.0,0.0
1711165874920686545,60224,1711165874922833692,,0.0,0.0,0.0,0.0,0.0
1711165874929040224,60225,1711165874932833692,,0.0,0.0,0.0,0.0,0.0
1711165874937328458,60226,1711165874932833692,,0.0,0.0,0.0,0.0,0.0
1711165874945789817,60227,1711165874943833692,,0.0,0.0,0.0,0.0,0.0
1711165874951181184,60228,1711165874953833692,,0.0,0.0,0.0,0.0,0.0
1711165874959576499,60229,1711165874963833692,,0.0,0.0,0.0,0.0,0.0
1711165874967967084,60230,1711165874963833692,,0.0,0.0,0.0,0.0,0.0
1711165874976325528,60231,1711165874974833692,,0.0,0.0,0.0,0.0,0.0
1711165874981807998,60232,1711165874984833692,,0.0,0.0,0.0,0.0,0.0
1711165874990220177,60233,1711165874994833692,,0.0,0.0,0.0,0.0,0.0
1711165874998608316,60234,1711165874994833692,,0.0,0.0,0.0,0.0,0.0
1711165875006921131,60235,1711165875005833692,,0.0,0.0,0.0,0.0,0.0
1711165875012584033,60236,1711165875015833692,,0.0,0.0,0.0,0.0,0.0
1711165875020822733,60237,1711165875025833692,,0.0,0.0,0.0,0.0,0.0
1711165875029172658,60238,1711165875025833692,,0.0,0.0,0.0,0.0,0.0
1711165875037443562,60239,1711165875036833692,,0.0,0.0,0.0,0.0,0.0
1711165875042912287,60240,1711165875046833692,,0.0,0.0,0.0,0.0,0.0
1711165875051336852,60241,1711165875056833692,,0.0,0.0,0.0,0.0,0.0
1711165875059587053,60242,1711165875056833692,,0.0,0.0,0.0,0.0,0.0
1711165875068049768,60243,1711165875067833692,,0.0,0.0,0.0,0.0,0.0
1711165875073427453,60244,1711165875077833692,,0.0,0.0,0.0,0.0,0.0
1711165875081854345,60245,1711165875077833692,,0.0,0.0,0.0,0.0,0.0
1711165875090187803,60246,1711165875087833692,,0.0,0.0,0.0,0.0,0.0
1711165875098460955,60247,1711165875098833692,,0.0,0.0,0.0,0.0,0.0
1711165875104190615,60248,1711165875108833692,,0.0,0.0,0.0,0.0,0.0
1711165875112343270,60249,1711165875108833692,,0.0,0.0,0.0,0.0,0.0
1711165875120831650,60250,1711165875118833692,,0.0,0.0,0.0,0.0,0.0
1711165875129197081,60251,1711165875129833692,,0.0,0.0,0.0,0.0,0.0
1711165875134562577,60252,1711165875139833692,,0.0,0.0,0.0,0.0,0.0
1711165875142917140,60253,1711165875139833692,,0.0,0.0,0.0,0.0,0.0
1711165875151306242,60254,1711165875149833692,,0.0,0.0,0.0,0.0,0.0
1711165875159739390,60255,1711165875160833692,,0.0,0.0,0.0,0.0,0.0
1711165875165104477,60256,1711165875170833692,,0.0,0.0,0.0,0.0,0.0
1711165875173500043,60257,1711165875170833692,,0.0,0.0,0.0,0.0,0.0
1711165875181870490,60258,1711165875180833692,,0.0,0.0,0.0,0.0,0.0
1711165875190181131,60259,1711165875191833692,,0.0,0.0,0.0,0.0,0.0
1711165875195838630,60260,1711165875201833692,,0.0,0.0,0.0,0.0,0.0
1711165875204078884,60261,1711165875201833692,,0.0,0.0,0.0,0.0,0.0
1711165875212433336,60262,1711165875211833692,,0.0,0.0,0.0,0.0,0.0
1711165875220642256,60263,1711165875222833692,,0.0,0.0,0.0,0.0,0.0
1711165875226231499,60264,1711165875232833692,,0.0,0.0,0.0,0.0,0.0
1711165875234664089,60265,1711165875232833692,,0.0,0.0,0.0,0.0,0.0
1711165875242973517,60266,1711165875242833692,,0.0,0.0,0.0,0.0,0.0
1711165875251294345,60267,1711165875253833692,,0.0,0.0,0.0,0.0,0.0
1711165875256792297,60268,1711165875253833692,,0.0,0.0,0.0,0.0,0.0
1711165875265124686,60269,1711165875263833692,,0.0,0.0,0.0,0.0,0.0
1711165875273467959,60270,1711165875273833692,,0.0,0.0,0.0,0.0,0.0
1711165875281910319,60271,1711165875284833692,,0.0,0.0,0.0,0.0,0.0
1711165875287509779,60272,1711165875284833692,,0.0,0.0,0.0,0.0,0.0
1711165875295643107,60273,1711165875294833692,,0.0,0.0,0.0,0.0,0.0
1711165875304134453,60274,1711165875304833692,,0.0,0.0,0.0,0.0,0.0
1711165875312377543,60275,1711165875315833692,,0.0,0.0,0.0,0.0,0.0
1711165875317930668,60276,1711165875315833692,,0.0,0.0,0.0,0.0,0.0
1711165875326241217,60277,1711165875325833692,,0.0,0.0,0.0,0.0,0.0
1711165875334604541,60278,1711165875335833692,,0.0,0.0,0.0,0.0,0.0
1711165875342981451,60279,1711165875346833692,,0.0,0.0,0.0,0.0,0.0
1711165875348423679,60280,1711165875346833692,,0.0,0.0,0.0,0.0,0.0
1711165875356888267,60281,1711165875356833692,,0.0,0.0,0.0,0.0,0.0
1711165875365262728,60282,1711165875366833692,,0.0,0.0,0.0,0.0,0.0
1711165875373509518,60283,1711165875377833692,,0.0,0.0,0.0,0.0,0.0
1711165875379145328,60284,1711165875377833692,,0.0,0.0,0.0,0.0,0.0
1711165875387335094,60285,1711165875387833692,,0.0,0.0,0.0,0.0,0.0
1711165875395794580,60286,1711165875397833692,,0.0,0.0,0.0,0.0,0.0
1711165875404135086,60287,1711165875408833692,,0.0,0.0,0.0,0.0,0.0
1711165875409709411,60288,1711165875408833692,,0.0,0.0,0.0,0.0,0.0
1711165875417969011,60289,1711165875418833692,,0.0,0.0,0.0,0.0,0.0
1711165875426265360,60290,1711165875428833692,,0.0,0.0,0.0,0.0,0.0
1711165875434605073,60291,1711165875439833692,,0.0,0.0,0.0,0.0,0.0
1711165875440178546,60292,1711165875439833692,,0.0,0.0,0.0,0.0,0.0
1711165875448512827,60293,1711165875449833692,,0.0,0.0,0.0,0.0,0.0
1711165875456885320,60294,1711165875459833692,,0.0,0.0,0.0,0.0,0.0
1711165875465321787,60295,1711165875459833692,,0.0,0.0,0.0,0.0,0.0
1711165875470631776,60296,1711165875470833692,,0.0,0.0,0.0,0.0,0.0
1711165875479152254,60297,1711165875480833692,,0.0,0.0,0.0,0.0,0.0
1711165875487382145,60298,1711165875490833692,,0.0,0.0,0.0,0.0,0.0
1711165875495676141,60299,1711165875490833692,,0.0,0.0,0.0,0.0,0.0
1711165875501406112,60300,1711165875501833692,,0.0,0.0,0.0,0.0,0.0
1711165875509536543,60301,1711165875511833692,,0.0,0.0,0.0,0.0,0.0
1711165875518060630,60302,1711165875521833692,,0.0,0.0,0.0,0.0,0.0
1711165875526316317,60303,1711165875521833692,,0.0,0.0,0.0,0.0,0.0
1711165875531857399,60304,1711165875532833692,,0.0,0.0,0.0,0.0,0.0
1711165875540180659,60305,1711165875542833692,,0.0,0.0,0.0,0.0,0.0
1711165875548459496,60306,1711165875552833692,,0.0,0.0,0.0,0.0,0.0
1711165875556891523,60307,1711165875552833692,,0.0,0.0,0.0,0.0,0.0
1711165875562298886,60308,1711165875563833692,,0.0,0.0,0.0,0.0,0.0
1711165875570708702,60309,1711165875573833692,,0.0,0.0,0.0,0.0,0.0
1711165875579035412,60310,1711165875583833692,,0.0,0.0,0.0,0.0,0.0
1711165875587314491,60311,1711165875583833692,,0.0,0.0,0.0,0.0,0.0
1711165875592991941,60312,1711165875594833692,,0.0,0.0,0.0,0.0,0.0
1711165875601373490,60313,1711165875604833692,,0.0,0.0,0.0,0.0,0.0
1711165875609604941,60314,1711165875614833692,,0.0,0.0,0.0,0.0,0.0
1711165875617979877,60315,1711165875614833692,,0.0,0.0,0.0,0.0,0.0
1711165875623459498,60316,1711165875625833692,,0.0,0.0,0.0,0.0,0.0
1711165875631843026,60317,1711165875635833692,,0.0,0.0,0.0,0.0,0.0
1711165875640121983,60318,1711165875635833692,,0.0,0.0,0.0,0.0,0.0
1711165875648518049,60319,1711165875645833692,,0.0,0.0,0.0,0.0,0.0
1711165875654016983,60320,1711165875656833692,,0.0,0.0,0.0,0.0,0.0
1711165875662375992,60321,1711165875666833692,,0.0,0.0,0.0,0.0,0.0
1711165875670657849,60322,1711165875666833692,,0.0,0.0,0.0,0.0,0.0
1711165875679154314,60323,1711165875676833692,,0.0,0.0,0.0,0.0,0.0
1711165875684539754,60324,1711165875687833692,,0.0,0.0,0.0,0.0,0.0
1711165875693003960,60325,1711165875697833692,,0.0,0.0,0.0,0.0,0.0
1711165875701270359,60326,1711165875697833692,,0.0,0.0,0.0,0.0,0.0
1711165875709529256,60327,1711165875707833692,,0.0,0.0,0.0,0.0,0.0
1711165875715178739,60328,1711165875717833692,,0.0,0.0,0.0,0.0,0.0
1711165875723393244,60329,1711165875728833692,,0.0,0.0,0.0,0.0,0.0
1711165875731812575,60330,1711165875728833692,,0.0,0.0,0.0,0.0,0.0
1711165875740080570,60331,1711165875738833692,,0.0,0.0,0.0,0.0,0.0
1711165875745688847,60332,1711165875748833692,,0.0,0.0,0.0,0.0,0.0
1711165875754037309,60333,1711165875759833692,,0.0,0.0,0.0,0.0,0.0
1711165875762340505,60334,1711165875759833692,,0.0,0.0,0.0,0.0,0.0
1711165875770724524,60335,1711165875769833692,,0.0,0.0,0.0,0.0,0.0
1711165875776158654,60336,1711165875779833692,,0.0,0.0,0.0,0.0,0.0
1711165875784524095,60337,1711165875790833692,,0.0,0.0,0.0,0.0,0.0
1711165875792865947,60338,1711165875790833692,,0.0,0.0,0.0,0.0,0.0
1711165875801245865,60339,1711165875800833692,,0.0,0.0,0.0,0.0,0.0
1711165875806732975,60340,1711165875810833692,,0.0,0.0,0.0,0.0,0.0
1711165875815113813,60341,1711165875810833692,,0.0,0.0,0.0,0.0,0.0
1711165875823466768,60342,1711165875821833692,,0.0,0.0,0.0,0.0,0.0
1711165875831873729,60343,1711165875831833692,,0.0,0.0,0.0,0.0,0.0
1711165875840090224,60344,1711165875841833692,,0.0,0.0,0.0,0.0,0.0
1711165875848530049,60345,1711165875852833692,,0.0,0.0,0.0,0.0,0.0
1711165875853947888,60346,1711165875849840337,,0.0,0.0,0.0,0.0,494.3471374511719
1711165875862449428,60347,1711165875859840337,,0.0,49.0,0.0,49.434715270996094,494.3471374511719
1711165875870636558,60348,1711165875869840337,,0.088755764067173,39.0,128.6928253173828,39.782752990722656,494.3471374511719
1711165875879058592,60349,1711165875869840337,,0.088755764067173,39.0,128.6928253173828,39.782752990722656,494.3471374511719
1711165875884542737,60350,1711165875880840337,,0.1109447032213211,33.0,160.86602783203125,33.34811019897461,494.3471374511719
1711165875892921334,60351,1711165875890840337,,0.088755764067173,36.0,128.6928253173828,36.5654296875,494.3471374511719
1711165875901218719,60352,1711165875900840337,,0.088755764067173,36.0,128.6928253173828,36.5654296875,494.3471374511719
1711165875909589678,60353,1711165875900840337,,0.088755764067173,36.0,128.6928253173828,36.5654296875,494.3471374511719
1711165875915222974,60354,1711165875911840337,,0.0665668174624443,39.0,96.51960754394531,39.782752990722656,494.3471374511719
1711165875923419072,60355,1711165875921840337,,0.088755764067173,36.0,128.6928253173828,36.5654296875,494.3471374511719
1711165875931813768,60356,1711165875931840337,,0.0665668174624443,39.0,96.51960754394531,39.782752990722656,494.3471374511719
1711165875940121313,60357,1711165875931840337,,0.0665668174624443,39.0,96.51960754394531,39.782752990722656,494.3471374511719
1711165875945713821,60358,1711165875942840337,,0.0665668174624443,39.0,96.51960754394531,39.782752990722656,494.3471374511719
1711165875954044700,60359,1711165875952840337,,0.0665668174624443,39.0,96.51960754394531,39.782752990722656,494.3471374511719
1711165875962466675,60360,1711165875962840337,,0.0443778820335865,43.0,64.3464126586914,43.00007247924805,494.3471374511719
1711165875970678194,60361,1711165875962840337,,0.0443778820335865,43.0,64.3464126586914,43.00007247924805,494.3471374511719
1711165875976307006,60362,1711165875973840337,,0.0443778820335865,43.0,64.3464126586914,43.00007247924805,494.3471374511719
1711165875984575486,60363,1711165875983840337,,0.0443778820335865,43.0,64.3464126586914,43.00007247924805,494.3471374511719
1711165875992963807,60364,1711165875993840337,,0.0443778820335865,43.0,64.3464126586914,43.00007247924805,494.3471374511719
1711165876001359899,60365,1711165875993840337,,0.0443778820335865,43.0,64.3464126586914,43.00007247924805,494.3471374511719
1711165876006878337,60366,1711165876004840337,,0.0443778820335865,43.0,64.3464126586914,43.00007247924805,494.3471374511719
1711165876015189056,60367,1711165876014840337,,0.0443778820335865,43.0,64.3464126586914,43.00007247924805,494.3471374511719
1711165876023449085,60368,1711165876014840337,,0.0443778820335865,43.0,64.3464126586914,43.00007247924805,494.3471374511719
1711165876031782090,60369,1711165876024840337,,0.0665668174624443,39.0,96.51960754394531,39.782752990722656,494.3471374511719
1711165876037400548,60370,1711165876035840337,,0.1331336349248886,30.0,193.03921508789062,30.13079261779785,494.3471374511719
1711165876045840336,60371,1711165876045840337,,0.1109447032213211,30.0,160.86602783203125,30.13079261779785,494.3471374511719
1711165876054177090,60372,1711165876045840337,,0.1109447032213211,30.0,160.86602783203125,30.13079261779785,494.3471374511719
1711165876062370353,60373,1711165876055840337,,0.1109447032213211,33.0,160.86602783203125,33.34811019897461,494.3471374511719
1711165876067897673,60374,1711165876066840337,,0.1109447032213211,33.0,160.86602783203125,33.34811019897461,494.3471374511719
